                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.64916,                0.47281,                0.97431,                0.93106,                0.87879,                0.89267,                0.43676,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.63248,                0.45142,                0.97018,                0.88219,                 0.9077,                0.92193,                0.47192,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.63331,                0.44745,                0.95005,                0.90242,                0.84088,                0.86977,                0.41831,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.62164,                 0.4411,                0.95406,                0.87803,                0.90909,                0.87277,                0.43889,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.62231,                0.43748,                0.95373,                0.85122,                0.87879,                0.85918,                0.42037,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.61011,                0.43117,                0.96098,                0.93525,                0.87548,                 0.8957,                0.41837,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.61566,                0.41898,                0.94925,                0.90898,                0.90787,                0.89531,                0.40436,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.59065,                0.40591,                0.93171,                0.93545,                0.87828,                0.89762,                0.41368,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.58763,                 0.4269,                0.93877,                0.90115,                0.87879,                0.89518,                0.43522,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.58279,                0.40481,                0.92943,                0.93544,                0.87814,                 0.9127,                0.44516,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.57863,                0.42316,                0.93637,                0.93109,                0.87879,                0.91253,                 0.4467,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.57733,                0.40985,                0.93971,                0.93139,                0.87879,                0.90997,                0.44137,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
